City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,iablanita,44.9503,22.3142,0.26000000000004775,98,100,1.61,RO,1674875039
169,alice springs,-23.7,133.8833,31.75,40,79,2.57,AU,1674875039
170,kruisfontein,-34.0033,24.7314,21.05000000000001,85,64,3.51,ZA,1674875040
171,shumskiy,54.8318,99.1328,-6.2999999999999545,76,95,4.04,RU,1674875040
172,marzuq,14.4,46.4667,15.890000000000043,78,88,2.95,YE,1674875041
173,manokwari,-0.8667,134.0833,27.05000000000001,80,100,0.47,ID,1674875041
174,lethem,3.3803,-59.7968,24.340000000000032,65,13,4.9,GY,1674875042
175,hobyo,5.3505,48.5268,23.840000000000032,78,24,6.62,SO,1674875043
176,saskylakh,71.9167,114.0833,-41.42999999999998,97,68,2.62,RU,1674875043
177,thompson,55.7435,-97.8558,-28.099999999999966,92,50,3.5,CA,1674874857
178,suntar,62.1444,117.6319,-31.799999999999983,97,93,1.71,RU,1674875044
179,robertsport,6.7533,-11.3686,25.920000000000016,90,70,1.86,LR,1674875045
180,kizner,56.2749,51.508,-6.529999999999973,96,99,2.52,RU,1674875046
181,basco,20.4487,121.9702,19.660000000000025,70,100,15.01,PH,1674875046
182,zapolyarnyy,69.4154,30.8136,-2.3999999999999773,92,100,6.36,RU,1674875047
183,hirara,24.8,125.2833,13.420000000000016,70,100,11.51,JP,1674875047
184,sorland,67.667,12.6934,2.920000000000016,62,100,14.68,NO,1674875048
185,camacha,33.0833,-16.3333,13.680000000000007,63,75,7.72,PT,1674875048
186,butaritari,3.0707,172.7902,27.52000000000004,80,6,9.0,KI,1674875048
187,sao paulo de olivenca,-3.3783,-68.8725,22.910000000000025,98,100,1.07,BR,1674875049
188,faanui,-16.4833,-151.75,27.25,73,3,5.58,PF,1674875049
189,katsina,12.9894,7.6006,22.910000000000025,14,82,2.5,NG,1674875050
190,warmbad,-28.45,18.7333,23.610000000000014,27,67,4.04,NA,1674875050
